date,block,wnvpresent,month,depart,dewpoint,wetbulb,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,br,dz,fg,hz,ra,ts,vcts,deg_days,br10,dz10,species_rank,trap_rank
2007-05-29,11,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,2.0,2.0
2007-05-29,11,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,3.0,2.0
2007-05-29,11,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,3.0,1.0
2007-05-29,11,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,3.0,1.0
2007-05-29,15,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,3.0,1.0
2007-05-29,15,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,3.0,1.0
2007-05-29,17,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,3.0,2.0
2007-05-29,21,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,2.0,1.0
2007-05-29,22,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,2.0,2.0
2007-05-29,22,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,0.0,0.0,3.0,2.0
2007-05-29,22,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,2.0,2.0
2007-05-29,22,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,3.0,2.0
2007-05-29,22,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,1.0,1.0
2007-05-29,22,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,3.0,1.0
2007-05-29,25,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,3.0,1.0
2007-05-29,41,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,2.0,3.0
2007-05-29,41,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,3.0,3.0
2007-05-29,62,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,3.0,1.0
2007-05-29,65,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,2.0,1.0
2007-05-29,75,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,2.0,1.0
2007-05-29,79,0,5,10.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,1,0,0,1,0,0,0,9,1.0,0.0,2.0,1.0
