date,wnvpresent
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-05-29,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-05,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
2007-06-26,0
